batter,sum,count,strike_rate
413,303,221,137.10407239819006
414,13,18,72.22222222222221
415,506,405,124.93827160493827
416,8,5,160.0
417,51,50,102.0
418,5,14,35.714285714285715
419,8,6,133.33333333333331
420,127,141,90.0709219858156
421,23,33,69.6969696969697
422,340,323,105.26315789473684
423,365,301,121.26245847176081
424,1,3,33.33333333333333
425,19,25,76.0
426,19,13,146.15384615384613
427,756,528,143.1818181818182
428,2848,2442,116.62571662571663
429,164,167,98.20359281437125
430,277,201,137.81094527363186
431,505,432,116.89814814814814
432,203,159,127.67295597484276
433,653,385,169.6103896103896
434,515,359,143.4540389972145
435,26,47,55.319148936170215
436,273,247,110.5263157894737
437,1,2,50.0
438,97,75,129.33333333333331
439,624,580,107.58620689655172
440,16,45,35.55555555555556
441,1892,1321,143.22482967448903
442,92,97,94.84536082474226
443,6,12,50.0
444,18,39,46.15384615384615
445,43,32,134.375
446,72,80,90.0
447,7,12,58.333333333333336
448,17,20,85.0
449,3160,2410,131.12033195020746
450,800,698,114.61318051575931
451,342,290,117.9310344827586
452,19,17,111.76470588235294
453,210,188,111.70212765957446
454,2174,1918,113.34723670490095
455,159,178,89.32584269662921
456,3,6,50.0
457,1173,909,129.04290429042905
458,360,254,141.73228346456693
459,51,52,98.07692307692307
460,222,146,152.05479452054794
461,13,6,216.66666666666666
462,0,2,0.0
463,270,236,114.40677966101696
464,66,77,85.71428571428571
465,115,68,169.11764705882354
466,19,23,82.6086956521739
467,1013,788,128.55329949238578
468,310,289,107.26643598615917
469,11,14,78.57142857142857
470,2959,2378,124.4322960470984
471,2236,1650,135.51515151515153
472,129,127,101.5748031496063
473,2380,1781,133.63279056709715
474,83,74,112.16216216216218
475,159,144,110.41666666666667
476,2,2,100.0
477,6630,5183,127.91819409608335
478,2,2,100.0
479,117,112,104.46428571428572
480,32,32,100.0
481,103,105,98.09523809523809
482,3,6,50.0
483,10,27,37.03703703703704
484,893,654,136.54434250764527
485,799,534,149.625468164794
486,326,238,136.9747899159664
487,0,3,0.0
488,52,78,66.66666666666666
489,0,2,0.0
490,3297,2296,143.59756097560975
491,67,64,104.6875
492,20,18,111.11111111111111
493,473,321,147.35202492211837
494,73,78,93.58974358974359
495,531,468,113.46153846153845
496,2,8,25.0
497,4,2,200.0
498,91,129,70.54263565891473
499,50,53,94.33962264150944
500,80,76,105.26315789473684
501,4954,3927,126.15227909345556
502,289,228,126.75438596491229
503,170,106,160.37735849056605
504,545,355,153.52112676056336
505,40,40,100.0
506,32,52,61.53846153846154
507,136,121,112.39669421487604
508,59,59,100.0
509,13,25,52.0
510,1441,1245,115.74297188755021
511,25,33,75.75757575757575
512,6769,5483,123.45431333211745
